category,Deal_of_day,best_seller,title,description,price,original-price,review,No_of_review,id,sponsered,prime_tag,start_url
bottle,,,,"Cello Sportigo Plastic Bottle Set, 1 Litre, Set of 2, Assorted",299,352,4.3 out of 5 stars,"4,439",B077Z99BP2,False,,https://www.amazon.in/s?k=bottle
bottle,,,,"Stewit Water bottle set for Fridge, Office, Sports, School, Gym, Yoga | 1000 ML - Water Bottle | Unbreakable & Leak-Proof (1 Piece) Multi Color",89,109,3.6 out of 5 stars,"1,264",B09LHX49HP,False,,https://www.amazon.in/s?k=bottle
bottle,,,,"Amazon Brand - Solimo Plastic Fridge Bottle Set (6 pieces, 1L, Checkered pattern, Multicolour)",399,700,4.4 out of 5 stars,"15,505",B07P7ZWQMZ,False,,https://www.amazon.in/s?k=bottle
bottle,,,,"Amazon Brand - Solimo Plastic Fridge Bottle Set (6 pieces, 1L, Checkered pattern, Multicolour)",399,700,4.4 out of 5 stars,"15,505",lredirect/picassoRedirect.ht,True,,https://www.amazon.in/s?k=bottle
bottle,,,,"Amazon Brand - Solimo Plastic Water Bottle Set (6 pieces, Multicolor, Dotted pattern)",429,875,4.0 out of 5 stars,"1,203",lredirect/picassoRedirect.ht,True,,https://www.amazon.in/s?k=bottle
bottle,,,,STAR WORK Coffee Thermos 500 ml | Large Thermal Water Bottle for Tea Hot & Cold Drinks | Stainless Steel Vacuum Sealed Insulated Thermos Water Flasks Bottles for Work & Travel (Rose Gold),490,999,4.8 out of 5 stars,57,lredirect/picassoRedirect.ht,True,,https://www.amazon.in/s?k=bottle
bottle,,,,"Borosil - Stainless Steel Hydra Trek - Vacuum Insulated Flask Water bottle, Black, 700ML",790,975,4.3 out of 5 stars,"19,342",lredirect/picassoRedirect.ht,True,Amazon Prime,https://www.amazon.in/s?k=bottle
bottle,,,,"Cello Puro Steel-X Benz Stainless Steel Water Bottle with Inner Steel and Outer Plastic , 900 ml (Pink)",449,567,4.0 out of 5 stars,"4,937",B07TK1Y6H3,False,,https://www.amazon.in/s?k=bottle
bottle,,,,"Cello H2O Plastic Bottle , 1 L, Set of 3, Colour May Vary, Multicolour",377,591,4.3 out of 5 stars,"10,673",B01BYBU24W,False,,https://www.amazon.in/s?k=bottle
bottle,,,,"Borosil - Stainless Steel Hydra Gosports - Vacuum Insulated Flask Water Bottle, 900 ML, Black",979,"1,095",4.4 out of 5 stars,"2,178",B07VS1GPSN,False,Amazon Prime,https://www.amazon.in/s?k=bottle
bottle,,,,"One94Store Stainless Steel Temperature Water Bottle Thermos, Double Wall Vacuum Intelligent Cup with LCD Smart Display for Office, Home, Gym, Outdoor Travel Hot and Cold Drinks (500 ML, Black)",349,999,3.9 out of 5 stars,8,B09TBB8NKP,False,,https://www.amazon.in/s?k=bottle
bottle,,,,"Cello Puro Plastic Sports Water Bottle, 900 ml, Set of 2(Assorted)",332,376,4.0 out of 5 stars,"2,819",B07CM5DDTH,False,,https://www.amazon.in/s?k=bottle
bottle,,,,"ZEYFLEEB AE-D_6 Plastic, Polypropylene, Polyethylene Terephthalate Water Bottle, 1L, Set of 6, Transparent",475,999,4.3 out of 5 stars,652,B09876TRRB,False,,https://www.amazon.in/s?k=bottle
bottle,,,,"Dezofy Crystal Clear Water Bottle Set of 6 1 litre, Plastic Fridge Water Bottle Set, Ideal for Office, Sports, School, Travelling, Gym, Yoga, Checkered Pattern, Set of 6",455.05,"1,199",4.4 out of 5 stars,"1,144",B0993Z5HQ5,False,,https://www.amazon.in/s?k=bottle
bottle,,,,"Pexpo Stainless Steel Wide Mouth Sports/Fridge/Refrigerator Single Wall Leakproof Water Bottle with 3X DURABLE Color Coating ( Pack of 1, Black, Capacity 1000 ml, Chromo Bottle)",323,399,3.9 out of 5 stars,239,B093SJC8Z5,False,,https://www.amazon.in/s?k=bottle
bottle,,,,"Grofilo 2 litre water Bottle with Straw Motivational Water Bottle With Time Markings Shaker with Portable Wide Mouth,Travel Bottle- BPA Free (Color-Gradient Color)",574,"1,299",4.5 out of 5 stars,2,B09ZF3JG19,False,,https://www.amazon.in/s?k=bottle
bottle,,,,"Gadget Deals - water bottle set of 6,Crystal Diamond Texture, water bottle - 1000 ml(1 Litre) water bottles for home, Transparent water bottles for fridge, Diamond Design - water bottles",339,"1,199",3.7 out of 5 stars,7,B09YLYN9ZM,False,,https://www.amazon.in/s?k=bottle
bottle,,,,"ATROCK® 1000ml Stainless Steel Water Bottle For Fidge / Refrigator, School, Office, Gym, Sports, Travel, Set Of 6",999,"1,999",3.5 out of 5 stars,20,B09S5VQJNG,False,,https://www.amazon.in/s?k=bottle
bottle,,,,"Nayasa Plastic Water Bottle, 1000ml, Set Of 6, Multicolour, Standard",338,749,4.2 out of 5 stars,"1,004",B0851JC9LM,False,,https://www.amazon.in/s?k=bottle
bottle,,,,"Orbexa Stainless Steel Insulated Hot & Cold Thermos Bottle with Temperature Display (500 ml, Multicolor)",499,999,3.4 out of 5 stars,"1,375",B0922XFNLX,False,,https://www.amazon.in/s?k=bottle
bottle,,,,"Amazon Brand - Solimo Plastic Water Bottle, 800ml, 6 Pieces, White",599,"1,100",4.4 out of 5 stars,"1,005",B07PB95QJG,False,Amazon Prime,https://www.amazon.in/s?k=bottle
bottle,,,,"ATROCK® Stainless Steel Water Bottle, Fridge Bottle 1L (Set Of 3)",494,999,3.6 out of 5 stars,258,B09BG23RC3,False,,https://www.amazon.in/s?k=bottle
bottle,,,,"MINISO Glass Water Bottle,High Borosilicate Portable Water Bottle with Hand Ring,500ml,Pink",360,,4.4 out of 5 stars,25,B09TDWFTGC,False,,https://www.amazon.in/s?k=bottle
