category,Deal_of_day,best_seller,title,description,price,original-price,review,No_of_review,id,sponsered,prime_tag,start_url
bottle,,,,"One94Store Stainless Steel Temperature Water Bottle Thermos, Double Wall Vacuum Intelligent Cup with LCD Smart Display for Office, Home, Gym, Outdoor Travel Hot and Cold Drinks (500 ML, Black)",349,999,3.9 out of 5 stars,8,TBB8N,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"Cello Puro Plastic Sports Water Bottle, 900 ml, Set of 2(Assorted)",332,376,4.0 out of 5 stars,"2,819",CM5DD,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"ZEYFLEEB AE-D_6 Plastic, Polypropylene, Polyethylene Terephthalate Water Bottle, 1L, Set of 6, Transparent",475,999,4.3 out of 5 stars,652,876TR,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"Pexpo Stainless Steel Wide Mouth Sports/Fridge/Refrigerator Single Wall Leakproof Water Bottle with 3X DURABLE Color Coating ( Pack of 1, Black, Capacity 1000 ml, Chromo Bottle)",323,399,3.9 out of 5 stars,239,3SJC8,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"Grofilo 2 litre water Bottle with Straw Motivational Water Bottle With Time Markings Shaker with Portable Wide Mouth,Travel Bottle- BPA Free (Color-Gradient Color)",574,"1,299",4.5 out of 5 stars,2,ZF3JG,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"Gadget Deals - water bottle set of 6,Crystal Diamond Texture, water bottle - 1000 ml(1 Litre) water bottles for home, Transparent water bottles for fridge, Diamond Design - water bottles",339,"1,199",3.7 out of 5 stars,7,YLYN9,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"PANCA Stainless Steel Insulated Sipper Water Bottle/Flask for Gym, School Water Bottle 1 L, Sipper Cap, Sipper bottle for Gym (Set of 1), Black (Style 1)",399,799,3.7 out of 5 stars,29,N9DPF,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"ATROCK? 1000ml Stainless Steel Water Bottle For Fidge / Refrigator, School, Office, Gym, Sports, Travel, Set Of 6",999,"1,999",3.5 out of 5 stars,20,S5VQJ,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"Nayasa Plastic Water Bottle, 1000ml, Set Of 6, Multicolour, Standard",338,749,4.2 out of 5 stars,"1,004",51JC9,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"STEEPLE 1000ml Stainless Steel Water Bottle, Fridge Water Bottle Set 1Litre Set of 6",959,"1,999","Get it by Friday, May 20",,YLDR6,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"ATROCK? Stainless Steel Water Bottle, Fridge Bottle 1L (Set Of 3)",494,999,3.6 out of 5 stars,258,BG23R,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"MINISO Glass Water Bottle,High Borosilicate Portable Water Bottle with Hand Ring,500ml,Pink",360,,4.4 out of 5 stars,25,TDWFT,TRUE,,https://www.amazon.in/s?k=bottle
bottle,,,,"HOKISTA Stainless Steel Fridge Water Bottle for Gym, Yoga, College, Office 1 Liter Leak Proof Sipper Bottle (Pack of 1, Assorted)",399,899,"Get it by Sunday, May 22",,Z8D4K,TRUE,,https://www.amazon.in/s?k=bottle
